ID,Opportunity,Link,Framework,Category,Specialist,Organisation Name,Buyer Domain,Location Of The Work,Published At,Open For,Expected Contract Length,Applications from SMEs,Applications from Large Organisations,Total Organisations,Status,Winning supplier,Size of supplier,Contract amount,Contract start date
9,HSCIC Dev Ops Contract - SOW 1 - Spine,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/9,digital-outcomes-and-specialists,digital-outcomes,,Health & Social Care Information Centre (HSCIC) & Department of Health (DoH),hscic.gov.uk,Yorkshire and the Humber,2016-07-13,2 weeks,2 Years,6.0,6.0,12.0,closed,,,,
5,Alpha to replace www.enterprise-europe.co.uk,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/5,digital-outcomes-and-specialists,digital-outcomes,,Innovate UK,innovateuk.gov.uk,Offsite,2016-04-28,2 weeks,8 weeks,28.0,9.0,37.0,closed,,,,
32,Programme Head of QA,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/32,digital-outcomes-and-specialists,digital-specialists,qualityAssurance,Home Office,homeoffice.gsi.gov.uk,London,2016-04-29,2 weeks,2 Years,23.0,2.0,25.0,closed,,,,
31,Programme CORTISONE - Business Architect,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/31,digital-outcomes-and-specialists,digital-specialists,technicalArchitect,Ministry of Defence,mod.uk,South West England,2016-05-03,2 weeks,9 months,14.0,9.0,23.0,closed,,,,
29,Programme CORTISONE - Data Architect,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/29,digital-outcomes-and-specialists,digital-specialists,technicalArchitect,Ministry of Defence,mod.uk,South West England,2016-05-03,2 weeks,9 Months,16.0,6.0,22.0,closed,,,,
28,Programme CORTISONE - Application Architect (Solutions Architect),https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/28,digital-outcomes-and-specialists,digital-specialists,technicalArchitect,Ministry of Defence,mod.uk,South West England,2016-05-03,2 weeks,9 Months,15.0,6.0,21.0,closed,,,,
20,Electronic Range Action Safety Plan (ERASP),https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/20,digital-outcomes-and-specialists,digital-outcomes,,Ministry Of Defence (MOD),mod.uk,South West England,2016-05-05,2 weeks,Completion by January 2017,4.0,4.0,8.0,closed,,,,
19,Programme CORTISONE - Scrum Master,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/19,digital-outcomes-and-specialists,digital-specialists,deliveryManager,Ministry of Defence,mod.uk,South West England,2016-05-03,2 weeks,9 months,26.0,8.0,34.0,closed,,,,
30,Programme CORTISONE - Infrastructure Architect,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/30,digital-outcomes-and-specialists,digital-specialists,technicalArchitect,Ministry of Defence,mod.uk,South West England,2016-05-03,2 weeks,9 Months,17.0,8.0,25.0,closed,,,,
64,Discovery Team for DVSA,https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/64,digital-outcomes-and-specialists,digital-outcomes,,Driver and Vehicle Standards Agency (DVSA),dsa.gsi.gov.uk,East Midlands,2016-05-11,2 weeks,2 Discoveries. 8 weeks each. 1 after the other. 1 week gap between.,18.0,14.0,32.0,closed,,,,
